,zon,zon_ef,mer,mer_perp,mer_parl,N,nui,R,F,E,ratio,hem,ge,K,dn
80,,,,,,,,,,0.03176039917288797,,north,9.568461737165052,,2013-12-24 20:00:00
90,,,,,,,,,,0.08461412935047269,,north,9.538897985579665,,2013-12-24 20:00:00
100,,,,,,,,,,1.0464528634894479,,north,9.509471037659582,,2013-12-24 20:00:00
110,,,,,,,,,,12.038919094459509,,north,9.480180050642307,,2013-12-24 20:00:00
120,,,,,,,,,,46.36239007021322,,north,9.451024188245025,,2013-12-24 20:00:00
130,,,,,,,,,,74.75439487006346,,north,9.422002620604932,,2013-12-24 20:00:00
140,,,,,,,,,,78.58561828648871,,north,9.393114524220158,,2013-12-24 20:00:00
150,,,,,,,,,,74.9224173273342,,north,9.364359081891372,,2013-12-24 20:00:00
160,-40.060895567027586,-54.59801782641577,50.49792074710287,1.451636697350009,60.93148738087012,2.113553825857456e+16,12.884664417265673,0.020754834016143753,18.34315292177698,50.369073490794186,0.2669561718410718,north,9.335735482663964,,2013-12-24 20:00:00
170,-45.85845448277731,-59.456738941664405,48.90922494544216,2.8044433543621223,61.240484037392704,3.1899006150745476e+16,10.228301323065057,0.015307697456572879,21.840444691266033,42.10057465914735,0.3415717314666932,north,9.307242921770898,2.9778871103363892e-05,2013-12-24 20:00:00
180,-48.9483785352548,-62.0066689153756,47.95599230064662,3.7416041523557717,61.24061089910072,3.985431104676562e+16,8.106007057608338,0.01124956888920738,21.663125248943086,38.24988303707847,0.36157632321722966,north,9.27888060057611,2.1855377636538312e-05,2013-12-24 20:00:00
190,-47.72356113406571,-60.467083184447404,46.95129521290944,4.757634713482855,59.72922140720148,4.894966540015847e+16,6.769247431389582,0.008917881386182354,22.231581773050394,34.34783560214416,0.3929270184177811,north,9.250647726518585,1.8726565553329235e-05,2013-12-24 20:00:00
200,-44.93068695810374,-57.44951906177789,45.92477368779566,5.538773631648653,57.69236642003463,5.774159634360276e+16,5.658471973344985,0.0070676253500849585,22.084819934505305,31.661673567856464,0.410907177293991,north,9.222543513056936,1.69714928250157e-05,2013-12-24 20:00:00
210,-41.43165981315413,-53.81658156997439,45.06285986876251,6.298661403347116,55.57476861781405,6.8015325504110984e+16,4.8855043449890365,0.005885920947495935,22.38958847581403,29.263619605195778,0.43345978512505046,north,9.194567179614682,1.5884138292655612e-05,2013-12-24 20:00:00
220,-38.23528003661539,-50.53839575136121,44.38251148187721,6.786767349887121,53.76768467091668,7.872731384863542e+16,4.078738559486336,0.004637372018781028,21.674129205911086,27.948550978396785,0.4367786892084292,north,9.166717951525998,1.6732581230543545e-05,2013-12-24 20:00:00
230,-34.73556870918293,-47.14386080613048,44.14801405317595,6.7211628248944795,52.3810588531106,9.362642512974835e+16,3.3992415172877446,0.0036552941201381324,21.73643120914512,26.87044210877174,0.44718842676788484,north,9.138995059982113,2.2938662025581337e-05,2013-12-24 20:00:00
240,-30.602855257253253,-43.097744514224466,43.81327124691743,6.932125480449728,50.64087473396398,1.2077460738418378e+17,2.788901823814687,0.0028225431676367906,23.094084858775958,25.544850735018013,0.4748065428825424,north,9.111397741978243,2.737928821331626e-05,2013-12-24 20:00:00
250,-26.66498755140593,-39.26386721679708,43.57810682104364,7.152344984758652,49.06580118772845,1.586170094901766e+17,2.307597407811417,0.0022048333221753825,25.201870527224408,24.295797910698553,0.5091526797637165,north,9.083925240261097,2.789640604121503e-05,2013-12-24 20:00:00
260,-23.190481903300416,-35.900616391656044,43.45994407643328,7.430222187811132,47.75141543871716,2.0778378638835498e+17,1.939811864192936,0.0017644285760252572,27.88806268312836,22.455356492441933,0.5539564681904116,north,9.05657680327692,2.550090466317284e-05,2013-12-24 20:00:00
270,-20.32627955872217,-33.16705848784502,43.43322699309096,7.373133428548758,46.790758160684845,2.6268576883807264e+17,1.6566680681022699,0.0014530143138919524,30.305677942550723,21.078479334667538,0.589786415666042,north,9.029351685120096,2.4229400414734367e-05,2013-12-24 20:00:00
280,-16.59529229987532,-29.65936646764693,43.59981161008376,7.348373849672351,45.739432394365174,3.326386180150307e+17,1.3483035985588936,0.00106841907828816,31.581836303976587,21.56165696395995,0.5942747524094563,north,9.002249145482297,2.4383644297563967e-05,2013-12-24 20:00:00
290,-14.701227829764486,-27.845983246330263,43.72550491171244,7.958216566634981,45.135528408533155,4.218192884270674e+17,1.1860592294427512,0.0009191164542877579,35.12816238745845,19.440690003262628,0.6437401713331921,north,8.975268449602138,2.078331556503663e-05,2013-12-24 20:00:00
300,-11.859917499079168,-25.229215856367627,43.986360205230795,7.694697769847654,44.522768844411274,5.042085225922765e+17,0.9934747659182792,0.0007054808978434983,35.72661840074949,20.02716754267712,0.6407926887153691,north,8.948408868215399,1.9012955349696627e-05,2013-12-24 20:00:00
310,-11.030538388596963,-24.40358281712086,44.031322069401675,8.30469189633272,44.1753001976063,6.089175343035231e+17,0.8986310753637897,0.0006389097024476638,38.91622911234253,18.173651159213225,0.6816659787554679,north,8.921669677505726,1.679543317227902e-05,2013-12-24 20:00:00
320,-8.947668903145996,-22.502559617002728,44.30090578166905,8.161245269952882,43.800534256866534,7.033313428763277e+17,0.7712297984511219,0.0005087054496701476,38.91755586088968,18.78669507545328,0.6744313500199834,north,8.895050159055883,1.589465671638799e-05,2013-12-24 20:00:00
