,mer,zon
100,6.3907547,-12.28828
101,4.4551926,-10.838746
102,3.5151446,-9.233039
103,3.1774704,-7.6330566
104,3.0489974,-6.2007337
105,2.7365124,-5.0980477
106,1.9649245,-4.432671
107,0.9317742,-4.0949044
108,-0.047304045,-3.9207742
109,-0.6567741,-3.7464104
110,-0.5812189,-3.4080672
111,0.41758367,-2.793277
112,2.2694783,-1.9942551
113,4.827072,-1.1545404
114,7.9427733,-0.4178791
115,11.4688,0.0717791
116,15.257201,0.17031357
117,19.159943,-0.2664915
118,23.031647,-1.3775197
119,26.787476,-3.1796741
120,30.4034,-5.5676055
121,33.858795,-8.42984
122,37.134125,-11.6537695
123,40.211113,-15.125447
124,43.0728,-18.729565
125,45.70326,-22.349695
126,48.0872,-25.868773
127,50.20931,-29.169735
128,52.053684,-32.136154
129,53.60335,-34.65272
130,54.840034,-36.60549
131,55.74929,-37.914917
132,56.335953,-38.634827
133,56.60915,-38.85295
134,56.577526,-38.657528
135,56.249496,-38.13704
136,55.63344,-37.380005
137,54.737812,-36.474854
138,53.571247,-35.509846
139,52.142567,-34.57303
140,50.46079,-33.75225
141,48.540947,-33.11656
142,46.421562,-32.660465
143,44.14712,-32.359707
144,41.762238,-32.18992
145,39.311615,-32.12662
146,36.840046,-32.145256
147,34.392376,-32.22119
148,32.01351,-32.329742
149,29.7484,-32.446194
150,27.642014,-32.54578
151,25.739353,-32.603718
152,24.08544,-32.595196
153,22.725313,-32.495396
154,21.704023,-32.27948
155,21.066628,-31.922604
156,20.844612,-31.405712
157,21.015146,-30.732946
158,21.54182,-29.914246
159,22.38823,-28.959545
160,23.517971,-27.87878
161,24.894648,-26.681875
162,26.481861,-25.37876
163,28.243214,-23.97936
164,30.142307,-22.493603
165,32.142754,-20.931412
166,34.208153,-19.30271
167,36.302113,-17.61742
168,38.38824,-15.8854685
169,40.430145,-14.1167755
170,42.391426,-12.321262
171,44.242405,-10.507444
172,45.980198,-8.678209
173,47.60865,-6.8350353
174,49.13158,-4.9794006
175,50.552834,-3.112783
176,51.87623,-1.236662
177,53.105606,0.64748454
178,54.244797,2.538178
179,55.29763,4.43394
180,56.26794,6.333292
181,57.159557,8.2347555
182,57.976315,10.136854
183,58.722046,12.038106
184,59.400585,13.937036
185,60.01576,15.832166
186,60.5714,17.722013
187,61.071342,19.605104
188,61.51942,21.47996
